,LAT,LONG,RSSI
0,23.2108837,72.6848205,-86
1,23.2113477,72.6848741,-53
2,23.213263,72.6833879,-55
3,23.2151089,72.6849741,-65
4,23.216815,72.6867183,-65
5,23.2170667,72.6893417,-65
6,23.2166883,72.6917117,-61
7,23.2166883,72.6917117,-63
8,23.2159105,72.6909924,-59
9,23.2154087,72.6902819,-59
10,23.2157117,72.6889691,-57
11,23.2155861,72.6882291,-63
12,23.2152707,72.6877757,-65
13,23.2147955,72.6879358,-67
14,23.2109879,72.6857431,-91
15,23.2106548,72.6852232,-86
16,23.2103132,72.6856586,-85
17,23.2098417,72.686445,-69
18,23.2088054,72.6868261,-59
19,23.2106314,72.6854441,-69
20,23.2075767,72.6880167,-75
21,23.21019,72.68699,-85
22,23.2100417,72.6877233,-85
23,23.2103942,72.6874359,-85
24,23.210485,72.6877567,-85
25,23.21048,72.68881,-86
26,23.1115,72.6884,-85
27,23.1121,72.68892,-86
28,23.21102,72.68921,-85
29,23.2108,72.68905,-85
30,23.21067,72.68888,-85
31,23.21048,72.68882,-85
32,23.21026,72.68866,-85
33,23.21014,72.68854,-85
34,23.2099,72.68843,-85
35,23.20978,72.6883,-85
36,23.20961,72.68822,-75
37,23.20925,72.688,-65
38,23.20914,72.68786,-61
39,23.209,72.68778,-63
40,23.20885,72.68766,-60
41,23.20866,72.68754,-60
42,23.20836,72.68732,-61
43,23.20836,72.68732,-61
44,23.20779,72.68696,-61
45,23.20759,72.68685,-61
46,23.20736,72.68644,-61
47,23.20719,72.68606,-57
48,23.20713,72.68565,-57
49,23.20714,72.68514,-51
50,23.20726,72.6849,-51
51,23.20732,72.68471,-51
52,23.20759,72.68406,-59
53,23.20787,72.68342,-55
54,23.20812,72.68334,-55
55,23.20847,72.68337,-55
56,23.20875,72.68335,-55
57,23.20911,72.68335,-63
58,23.20942,72.68341,-57
59,23.20942,72.68341,-57
60,23.21016,72.6834,-59
61,23.21053,72.68339,-59
62,23.21074,72.68336,-61
63,23.21126,72.68347,-57
64,23.21126,72.68347,-57
65,23.21117,72.68396,-63
66,23.21108,72.68413,-63
67,23.21096,72.68453,-85
68,23.21079,72.68456,-59
69,23.21067,72.6843,-61
70,23.2104,72.68448,-85
71,23.21066,72.68471,-85
72,23.21078,72.68498,-85
73,23.21114,72.68508,-69
74,23.21118,72.68504,-68
75,23.21117,72.68465,-85
76,23.21087,72.68468,-61
77,23.21152,72.68432,-65
78,23.21196,72.68419,-59
79,23.21245,72.68417,-55
80,23.21317,72.68392,-85
81,23.21345,72.68418,-77
82,23.21352,72.68437,-85
83,23.21369,72.6846,-85
84,23.21406,72.68477,-85
85,23.21414,72.6849,-85
86,23.21418,72.68508,-85
87,23.21434,72.68531,-85
88,23.21448,72.68534,-67
89,23.21456,72.68537,-65
90,23.21466,72.68547,-61
91,23.21475,72.68563,-67
92,23.2149,72.68564,-63
93,23.21502,72.6858,-65
94,23.21497,72.68598,-63
95,23.21446,72.68607,-61
96,23.2143,72.6859,-80
97,23.2143,72.68558,-84
98,23.21444,72.68534,-85
99,23.21442,72.68517,-86
